well,row,col,colony,phage,position
A1,A,1,ANC1,noPhage,edge
B1,B,1,ANC1,noPhage,edge
C1,C,1,ANC1,SPO1,edge
D1,D,1,ANC1,SPO1,edge
E1,E,1,ANC1,noPhage,edge
F1,F,1,ANC1,noPhage,edge
G1,G,1,ANC1,SPO1,edge
H1,H,1,ANC1,SPO1,edge
A2,A,2,ANC1,noPhage,edge
B2,B,2,ANC1,noPhage,center
C2,C,2,ANC1,SPO1,center
D2,D,2,ANC1,SPO1,center
E2,E,2,ANC1,noPhage,center
F2,F,2,ANC1,noPhage,center
G2,G,2,ANC1,SPO1,center
H2,H,2,ANC1,SPO1,edge
A3,A,3,ANC1,noPhage,edge
B3,B,3,ANC1,noPhage,center
C3,C,3,ANC1,SPO1,center
D3,D,3,ANC1,SPO1,center
E3,E,3,ANC1,noPhage,center
F3,F,3,ANC1,noPhage,center
G3,G,3,ANC1,SPO1,center
H3,H,3,ANC1,SPO1,edge
A4,A,4,ANC1,noPhage,edge
B4,B,4,ANC1,noPhage,center
C4,C,4,ANC1,SPO1,center
D4,D,4,ANC1,SPO1,center
E4,E,4,ANC1,noPhage,center
F4,F,4,ANC1,noPhage,center
G4,G,4,ANC1,SPO1,center
H4,H,4,ANC1,SPO1,edge
A5,A,5,ANC1,noPhage,edge
B5,B,5,ANC1,noPhage,center
C5,C,5,ANC1,SPO1,center
D5,D,5,ANC1,SPO1,center
E5,E,5,ANC1,noPhage,center
F5,F,5,ANC1,noPhage,center
G5,G,5,ANC1,SPO1,center
H5,H,5,ANC1,SPO1,edge
A6,A,6,LB,noPhage,edge
B6,B,6,LB,noPhage,center
C6,C,6,LB,SPO1,center
D6,D,6,LB,SPO1,center
E6,E,6,LB,noPhage,center
F6,F,6,LB,noPhage,center
G6,G,6,LB,SPO1,center
H6,H,6,LB,SPO1,edge
A7,A,7,LB,noPhage,edge
B7,B,7,LB,noPhage,center
C7,C,7,LB,SPO1,center
D7,D,7,LB,SPO1,center
E7,E,7,LB,noPhage,center
F7,F,7,LB,noPhage,center
G7,G,7,LB,SPO1,center
H7,H,7,LB,SPO1,edge
A8,A,8,ANC2,noPhage,edge
B8,B,8,ANC2,noPhage,center
C8,C,8,ANC2,SPO1,center
D8,D,8,ANC2,SPO1,center
E8,E,8,ANC2,noPhage,center
F8,F,8,ANC2,noPhage,center
G8,G,8,ANC2,SPO1,center
H8,H,8,ANC2,SPO1,edge
A9,A,9,ANC2,noPhage,edge
B9,B,9,ANC2,noPhage,center
C9,C,9,ANC2,SPO1,center
D9,D,9,ANC2,SPO1,center
E9,E,9,ANC2,noPhage,center
F9,F,9,ANC2,noPhage,center
G9,G,9,ANC2,SPO1,center
H9,H,9,ANC2,SPO1,edge
A10,A,10,ANC2,noPhage,edge
B10,B,10,ANC2,noPhage,center
C10,C,10,ANC2,SPO1,center
D10,D,10,ANC2,SPO1,center
E10,E,10,ANC2,noPhage,center
F10,F,10,ANC2,noPhage,center
G10,G,10,ANC2,SPO1,center
H10,H,10,ANC2,SPO1,edge
A11,A,11,ANC2,noPhage,edge
B11,B,11,ANC2,noPhage,center
C11,C,11,ANC2,SPO1,center
D11,D,11,ANC2,SPO1,center
E11,E,11,ANC2,noPhage,center
F11,F,11,ANC2,noPhage,center
G11,G,11,ANC2,SPO1,center
H11,H,11,ANC2,SPO1,edge
A12,A,12,ANC2,noPhage,edge
B12,B,12,ANC2,noPhage,edge
C12,C,12,ANC2,SPO1,edge
D12,D,12,ANC2,SPO1,edge
E12,E,12,ANC2,noPhage,edge
F12,F,12,ANC2,noPhage,edge
G12,G,12,ANC2,SPO1,edge
H12,H,12,ANC2,SPO1,edge
