rep,well,row,col,host,phage.time.shift,position
A,A1,A,1,blank,blank,edge
A,B1,B,1,blank,blank,edge
A,C1,C,1,blank,blank,edge
A,D1,D,1,blank,blank,edge
A,E1,E,1,blank,blank,edge
A,F1,F,1,blank,blank,edge
A,G1,G,1,blank,blank,edge
A,H1,H,1,blank,blank,edge
A,A2,A,2,blank,blank,edge
A,B2,B,2,1,DSM,center
A,C2,C,2,2,DSM,center
A,D2,D,2,3,DSM,center
A,E2,E,2,4,DSM,center
A,F2,F,2,5,DSM,center
A,G2,G,2,6,DSM,center
A,H2,H,2,blank,blank,edge
A,A3,A,3,blank,blank,edge
A,B3,B,3,1,-1.0E+00,center
A,C3,C,3,2,-1.0E+00,center
A,D3,D,3,3,-1.0E+00,center
A,E3,E,3,4,-1.0E+00,center
A,F3,F,3,5,-1.0E+00,center
A,G3,G,3,6,-1.0E+00,center
A,H3,H,3,blank,blank,edge
A,A4,A,4,blank,blank,edge
A,B4,B,4,1,0.0E+00,center
A,C4,C,4,2,0.0E+00,center
A,D4,D,4,3,0.0E+00,center
A,E4,E,4,4,0.0E+00,center
A,F4,F,4,5,0.0E+00,center
A,G4,G,4,6,0.0E+00,center
A,H4,H,4,blank,blank,edge
A,A5,A,5,blank,blank,edge
A,B5,B,5,1,1.0E+00,center
A,C5,C,5,2,1.0E+00,center
A,D5,D,5,3,1.0E+00,center
A,E5,E,5,4,1.0E+00,center
A,F5,F,5,5,1.0E+00,center
A,G5,G,5,6,1.0E+00,center
A,H5,H,5,blank,blank,edge
A,A6,A,6,blank,blank,edge
A,B6,B,6,1,DSM,center
A,C6,C,6,2,DSM,center
A,D6,D,6,3,DSM,center
A,E6,E,6,4,DSM,center
A,F6,F,6,5,DSM,center
A,G6,G,6,6,DSM,center
A,H6,H,6,blank,blank,edge
A,A7,A,7,blank,blank,edge
A,B7,B,7,7,DSM,center
A,C7,C,7,8,DSM,center
A,D7,D,7,9,DSM,center
A,E7,E,7,10,DSM,center
A,F7,F,7,11,DSM,center
A,G7,G,7,ANC1,DSM,center
A,H7,H,7,blank,blank,edge
A,A8,A,8,blank,blank,edge
A,B8,B,8,7,-1.0E+00,center
A,C8,C,8,8,-1.0E+00,center
A,D8,D,8,9,-1.0E+00,center
A,E8,E,8,10,-1.0E+00,center
A,F8,F,8,11,-1.0E+00,center
A,G8,G,8,ANC1,-1.0E+00,center
A,H8,H,8,blank,blank,edge
A,A9,A,9,blank,blank,edge
A,B9,B,9,7,0.0E+00,center
A,C9,C,9,8,0.0E+00,center
A,D9,D,9,9,0.0E+00,center
A,E9,E,9,10,0.0E+00,center
A,F9,F,9,11,0.0E+00,center
A,G9,G,9,ANC1,0.0E+00,center
A,H9,H,9,blank,blank,edge
A,A10,A,10,blank,blank,edge
A,B10,B,10,7,1.0E+00,center
A,C10,C,10,8,1.0E+00,center
