well,row,col,host,phage
A1,A,1,blank1,noPhage
B1,B,1,blank1,past
C1,C,1,blank1,current
D1,D,1,blank1,futuure
E1,E,1,blank2,noPhage
F1,F,1,blank2,past
G1,G,1,blank2,current
H1,H,1,blank2,futuure
A2,A,2,1,noPhage
B2,B,2,1,past
C2,C,2,1,current
D2,D,2,1,futuure
E2,E,2,12,noPhage
F2,F,2,12,past
G2,G,2,12,current
H2,H,2,12,futuure
A3,A,3,2,noPhage
B3,B,3,2,past
C3,C,3,2,current
D3,D,3,2,futuure
E3,E,3,13,noPhage
F3,F,3,13,past
G3,G,3,13,current
H3,H,3,13,futuure
A4,A,4,3,noPhage
B4,B,4,3,past
C4,C,4,3,current
D4,D,4,3,futuure
E4,E,4,14,noPhage
F4,F,4,14,past
G4,G,4,14,current
H4,H,4,14,futuure
A5,A,5,4,noPhage
B5,B,5,4,past
C5,C,5,4,current
D5,D,5,4,futuure
E5,E,5,15,noPhage
F5,F,5,15,past
G5,G,5,15,current
H5,H,5,15,futuure
A6,A,6,5,noPhage
B6,B,6,5,past
C6,C,6,5,current
D6,D,6,5,futuure
E6,E,6,16,noPhage
F6,F,6,16,past
G6,G,6,16,current
H6,H,6,16,futuure
A7,A,7,6,noPhage
B7,B,7,6,past
C7,C,7,6,current
D7,D,7,6,futuure
E7,E,7,17,noPhage
F7,F,7,17,past
G7,G,7,17,current
H7,H,7,17,futuure
A8,A,8,7,noPhage
B8,B,8,7,past
C8,C,8,7,current
D8,D,8,7,futuure
E8,E,8,18,noPhage
F8,F,8,18,past
G8,G,8,18,current
H8,H,8,18,futuure
A9,A,9,8,noPhage
B9,B,9,8,past
C9,C,9,8,current
D9,D,9,8,futuure
E9,E,9,19,noPhage
F9,F,9,19,past
G9,G,9,19,current
H9,H,9,19,futuure
A10,A,10,9,noPhage
B10,B,10,9,past
C10,C,10,9,current
D10,D,10,9,futuure
E10,E,10,20,noPhage
F10,F,10,20,past
G10,G,10,20,current
H10,H,10,20,futuure
A11,A,11,10,noPhage
B11,B,11,10,past
C11,C,11,10,current
D11,D,11,10,futuure
E11,E,11,ANC1,noPhage
F11,F,11,ANC1,past
G11,G,11,ANC1,current
H11,H,11,ANC1,futuure
A12,A,12,11,noPhage
B12,B,12,11,past
C12,C,12,11,current
D12,D,12,11,futuure
E12,E,12,ANC2,noPhage
F12,F,12,ANC2,past
G12,G,12,ANC2,current
H12,H,12,ANC2,futuure
